"","ask","base_volume","bid","date","high","last","low","marketName","moy_prev_dev","open_buy_orders","open_sell_orders","volume"
"25",0.00104323,4.5990079,0.00104014,"2020-03-27T09:37:09.34",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,398,3075,4466.64418353
"26",0.00104323,4.5990079,0.00104014,"2020-03-27T09:37:24.343",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,398,3075,4466.64418353
"27",0.00104323,4.5990079,0.00104014,"2020-03-27T09:37:39.413",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,398,3076,4466.64418353
"28",0.00104322,4.5990079,0.00104025,"2020-03-27T09:37:59.373",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,398,3076,4466.64418353
"29",0.00104363,4.5990079,0.00104025,"2020-03-27T09:38:14.487",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,395,3072,4466.64418353
"30",0.00104331,4.5990079,0.00104025,"2020-03-27T09:38:29.393",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,398,3075,4466.64418353
"31",0.00104311,4.5990079,0.00104027,"2020-03-27T09:38:44.38",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,398,3078,4466.64418353
"32",0.00104369,4.5990079,0.00104027,"2020-03-27T09:38:59.38",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,398,3077,4466.64418353
"33",0.00104327,4.5990079,0.00104027,"2020-03-27T09:39:14.42",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,398,3078,4466.64418353
"34",0.00104327,4.5990079,0.00104027,"2020-03-27T09:39:29.43",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,397,3076,4466.64418353
"35",0.00104326,4.5990079,0.00104028,"2020-03-27T09:39:44.43",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,399,3077,4466.64418353
"36",0.00104325,4.5990079,0.00104029,"2020-03-27T09:39:59.46",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,398,3076,4466.64418353
"37",0.00104325,4.5990079,0.00104033,"2020-03-27T09:40:14.42",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,398,3076,4466.64418353
"38",0.00104325,4.5990079,0.00104033,"2020-03-27T09:40:29.413",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,398,3076,4466.64418353
"39",0.00104325,4.5990079,0.00104033,"2020-03-27T09:40:44.427",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,397,3076,4466.64418353
"40",0.00104325,4.5990079,0.00104033,"2020-03-27T09:40:59.423",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,397,3076,4466.64418353
"41",0.00104327,4.5990079,0.00104012,"2020-03-27T09:41:14.517",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,397,3076,4466.64418353
"42",0.00104316,4.5990079,0.00103991,"2020-03-27T09:41:29.41",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,397,3077,4466.64418353
"43",0.00104326,4.5990079,0.00103991,"2020-03-27T09:41:44.45",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,397,3076,4466.64418353
"44",0.00104329,4.5990079,0.00103992,"2020-03-27T09:41:59.413",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103301,398,3074,4466.64418353
"45",0.00104329,4.59562536,0.00104023,"2020-03-27T09:42:14.61",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103242,397,3075,4463.36973092
"46",0.00104329,4.59562536,0.00104023,"2020-03-27T09:42:29.417",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103242,397,3075,4463.36973092
"47",0.00104325,4.59562536,0.00104027,"2020-03-27T09:42:49.437",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103242,398,3077,4463.36973092
"48",0.00104325,4.59562536,0.00104027,"2020-03-27T09:43:04.537",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103242,398,3077,4463.36973092
"49",0.00104325,4.59562536,0.00104027,"2020-03-27T09:43:14.563",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103242,395,3076,4463.36973092
"50",0.00104325,4.59562536,0.00104027,"2020-03-27T09:43:34.613",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103242,396,3075,4463.36973092
"51",0.00104325,4.59562536,0.00104027,"2020-03-27T09:43:49.427",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103242,396,3075,4463.36973092
"52",0.00104325,4.59562536,0.00104027,"2020-03-27T09:44:04.653",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103242,396,3075,4463.36973092
"53",0.00104325,4.59562536,0.00104027,"2020-03-27T09:44:19.59",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103242,397,3076,4463.36973092
"54",0.00104325,4.59562536,0.00104027,"2020-03-27T09:44:34.697",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103242,397,3075,4463.36973092
"55",0.00104325,4.59562536,0.00103866,"2020-03-27T09:44:49.523",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103242,395,3076,4463.36973092
"56",0.00104325,4.59562536,0.00103966,"2020-03-27T09:45:04.52",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103242,397,3075,4463.36973092
"57",0.00104325,4.59562536,0.00103969,"2020-03-27T09:45:19.537",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103242,395,3075,4463.36973092
"58",0.00104325,4.59562536,0.00103982,"2020-03-27T09:45:34.55",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103242,397,3076,4463.36973092
"59",0.00104293,4.59562536,0.0010397,"2020-03-27T09:45:49.563",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103242,395,3076,4463.36973092
"60",0.00104282,4.59562536,0.00103982,"2020-03-27T09:46:04.607",0.00104922,0.00104359,0.00101783,"BTC-NEO",0.00103242,397,3076,4463.36973092
"61",0.0010429,4.64778355,0.00103982,"2020-03-27T09:46:24.573",0.00104922,0.00104323,0.00101783,"BTC-NEO",0.00103242,396,3075,4513.36978092
"62",0.00104322,4.64778355,0.00103982,"2020-03-27T09:46:39.607",0.00104922,0.00104323,0.00101783,"BTC-NEO",0.00103242,396,3073,4513.36978092
"63",0.00104322,4.64778355,0.00103982,"2020-03-27T09:46:54.65",0.00104922,0.00104323,0.00101783,"BTC-NEO",0.00103242,396,3075,4513.36978092
